word	num	|	G0								|	G3								|	G6							
S(d)		|									|	1	1	3	1	2	2	6	1	|								
SC		|									|	1	3	1	2	4	4	1	1	|								
SF		|									|	1	2	2	1	6	1	2	2	|								
SK		|	4	1	3	3	1	1	2	2	|	2	1	3	1	1	1	6	2	|								
ST		|									|	1	2	2	2	1	1	6	2	|	2	1	4	2	1	1	2	4
T(d)		|									|	2	2	2	2	4	3	1	1	|								
TD		|									|	5	1	3	1	3	1	2	1	|								
TK		|									|									|	1	3	2	4	1	1	3	2
UI		|									|									|	2	1	4	4	1	2	2	1
UK		|	1	4	1	1	2	5	2	1	|									|								
VA		|	1	4	1	2	1	2	1	5	|									|								
VC		|									|	3	2	2	3	3	2	1	1	|								
VS		|									|	1	1	3	3	1	2	5	1	|								
W(d)		|									|	1	4	1	1	4	3	1	2	|								
W(s)		|	1	4	1	3	1	4	1	2	|									|								
WJ		|	2	2	3	1	2	2	1	4	|									|								
YI		|									|	2	2	3	1	1	1	6	1	|								
