##	word	mix	|	G0								|	G3								|	G6							
49	BT		|	2	1	1	2	2	1	3	5	|	3	1	1	1	4	3	3	1	|	2	1	1	2	1	1	5	4
50	BU	1U	|	3	1	1	2	2	1	4	3	|	1	1	1	1	4	4	1	4	|	3	1	1	2	1	1	6	2
51	BV		|	4	1	1	2	2	1	5	1	|	2	1	1	1	4	4	2	2	|	1	1	1	2	1	2	4	5
52	BW		|	1	1	1	2	2	2	2	6	|	1	1	1	1	4	5	1	3	|	2	1	1	2	1	2	5	3
53	BX		|	2	1	1	2	2	2	3	4	|	2	1	1	1	4	5	2	1	|	3	1	1	2	1	2	6	1
54	BY		|	3	1	1	2	2	2	4	2	|	1	1	1	1	5	1	2	5	|	1	1	1	2	1	3	4	4
55	BZ		|	1	1	1	2	2	3	2	5	|	2	1	1	1	5	1	3	3	|	2	1	1	2	1	3	5	2
56	B(d)	1(d)	|	2	1	1	2	2	3	3	3	|	3	1	1	1	5	1	4	1	|	1	1	1	2	1	4	4	3
57			|	3	1	1	2	2	3	4	1	|	1	1	1	1	5	2	2	4	|	2	1	1	2	1	4	5	1
58	B(s)	1(s)	|	1	1	1	2	2	4	2	4	|	2	1	1	1	5	2	3	2	|	1	1	1	2	1	5	4	2
59			|									|	1	1	1	1	5	3	2	3	|	6	1	1	2	2	1	1	3
60	CA	20	|	1	1	1	2	3	1	3	5	|	2	1	1	1	5	3	3	1	|	1	1	1	2	2	1	5	4
61	CB	21	|	2	1	1	2	3	1	4	3	|	1	1	1	1	5	4	2	2	|	2	1	1	2	2	1	6	2
62	CC	22	|	3	1	1	2	3	1	5	1	|	1	1	1	1	6	1	3	3	|	6	1	1	2	2	2	1	2
63	CD	23	|	1	1	1	2	3	2	3	4	|	2	1	1	1	6	1	4	1	|	1	1	1	2	2	2	5	3
64	CE	24	|	2	1	1	2	3	2	4	2	|	1	1	1	1	6	2	3	2	|	2	1	1	2	2	2	6	1
65	CF	25	|	1	1	1	2	3	3	3	3	|	1	1	1	1	6	3	3	1	|	6	1	1	2	2	3	1	1
66	CG	26	|	2	1	1	2	3	3	4	1	|	4	1	1	2	1	1	1	6	|	1	1	1	2	2	3	5	2
67	CH	27	|	1	1	1	2	4	1	4	3	|	5	1	1	2	1	1	2	4	|	1	1	1	2	2	4	5	1
68	CI	28	|	2	1	1	2	4	1	5	1	|	6	1	1	2	1	1	3	2	|	5	1	1	2	3	1	1	3
69	CJ	29	|									|	4	1	1	2	1	2	1	5	|	6	1	1	2	3	1	2	1
70	CK	2K	|									|	5	1	1	2	1	2	2	3	|	1	1	1	2	3	1	6	2
71	CL	2L	|									|	6	1	1	2	1	2	3	1	|	5	1	1	2	3	2	1	2
72	CM		|									|	4	1	1	2	1	3	1	4	|	1	1	1	2	3	2	6	1
73	CN	2N	|									|	5	1	1	2	1	3	2	2	|	5	1	1	2	3	3	1	1
74	CO		|									|	4	1	1	2	1	4	1	3	|	4	1	1	2	4	1	1	3
75	CP		|	3	1	1	3	1	2	3	3	|	5	1	1	2	1	4	2	1	|	5	1	1	2	4	1	2	1
76	CQ		|	4	1	1	3	1	2	4	1	|	4	1	1	2	1	5	1	2	|	4	1	1	2	4	2	1	2
77	CR		|	1	1	1	3	1	3	1	6	|	4	1	1	2	1	6	1	1	|	4	1	1	2	4	3	1	1
78	CS		|	2	1	1	3	1	3	2	4	|	3	1	1	2	2	1	1	6	|	3	1	1	2	5	1	1	3
79	CT		|	3	1	1	3	1	3	3	2	|	4	1	1	2	2	1	2	4	|	4	1	1	2	5	1	2	1
80	CU		|									|	5	1	1	2	2	1	3	2	|	3	1	1	2	5	2	1	2
81	CV		|									|	3	1	1	2	2	2	1	5	|	3	1	1	2	5	3	1	1
82	CW		|	1	1	1	3	1	5	1	4	|	4	1	1	2	2	2	2	3	|	2	1	1	2	6	1	1	3
83	CX		|									|	5	1	1	2	2	2	3	1	|	3	1	1	2	6	1	2	1
84	CY		|									|	3	1	1	2	2	3	1	4	|	2	1	1	2	6	2	1	2
85	CZ		|									|	4	1	1	2	2	3	2	2	|	2	1	1	2	6	3	1	1
86	C(d)	2(d)	|	3	1	1	3	2	1	4	2	|	3	1	1	2	2	4	1	3	|	1	1	1	3	1	1	4	5
87			|	1	1	1	3	2	2	2	5	|	4	1	1	2	2	4	2	1	|	2	1	1	3	1	1	5	3
88	C(s)	2(s)	|	2	1	1	3	2	2	3	3	|	3	1	1	2	2	5	1	2	|	3	1	1	3	1	1	6	1
89			|	3	1	1	3	2	2	4	1	|	3	1	1	2	2	6	1	1	|	1	1	1	3	1	2	4	4
90	DA	30	|	1	1	1	3	2	3	2	4	|	2	1	1	2	3	1	1	6	|	2	1	1	3	1	2	5	2
91	DB	31	|	2	1	1	3	2	3	3	2	|	3	1	1	2	3	1	2	4	|	1	1	1	3	1	3	4	3
92	DC	32	|	1	1	1	3	2	4	2	3	|	4	1	1	2	3	1	3	2	|	2	1	1	3	1	3	5	1
93	DD	33	|	1	1	1	3	2	5	2	2	|	2	1	1	2	3	2	1	5	|	1	1	1	3	1	4	4	2
94	DE	34	|	1	1	1	3	3	1	3	4	|	3	1	1	2	3	2	2	3	|	1	1	1	3	1	5	4	1
95	DF	35	|	2	1	1	3	3	1	4	2	|	4	1	1	2	3	2	3	1	|	6	1	1	3	2	1	1	2
96	DG	36	|	1	1	1	3	3	2	3	3	|	2	1	1	2	3	3	1	4	|	1	1	1	3	2	1	5	3
97	DH	37	|	2	1	1	3	3	2	4	1	|	3	1	1	2	3	3	2	2	|	2	1	1	3	2	1	6	1
98	DI	38	|	1	1	1	3	3	3	3	2	|	2	1	1	2	3	4	1	3	|	6	1	1	3	2	2	1	1
99	DJ	39	|									|	3	1	1	2	3	4	2	1	|	1	1	1	3	2	2	5	2
100	DK	3K	|									|	2	1	1	2	3	5	1	2	|	1	1	1	3	2	3	5	1
101	DL	3L	|	3	1	1	4	1	1	3	3	|	2	1	1	2	3	6	1	1	|	5	1	1	3	3	1	1	2
102	DM		|									|	1	1	1	2	4	1	1	6	|	1	1	1	3	3	1	6	1
103	DN	3N	|									|	2	1	1	2	4	1	2	4	|	5	1	1	3	3	2	1	1
104	DO		|									|	3	1	1	2	4	1	3	2	|	4	1	1	3	4	1	1	2
105	DP		|									|	1	1	1	2	4	2	1	5	|	4	1	1	3	4	2	1	1
106	DQ		|									|	2	1	1	2	4	2	2	3	|	3	1	1	3	5	1	1	2
107	DR		|									|	3	1	1	2	4	2	3	1	|	3	1	1	3	5	2	1	1
108	DS		|									|	1	1	1	2	4	3	1	4	|	2	1	1	3	6	1	1	2
109	DT		|									|	2	1	1	2	4	3	2	2	|	2	1	1	3	6	2	1	1
110	DU		|									|	1	1	1	2	4	4	1	3	|	1	1	1	4	1	1	4	4
111	DV		|									|	2	1	1	2	4	4	2	1	|	2	1	1	4	1	1	5	2
112	DW		|									|	1	1	1	2	4	5	1	2	|	1	1	1	4	1	2	4	3
113	DX		|									|	1	1	1	2	5	1	2	4	|	2	1	1	4	1	2	5	1
114	DY		|									|	2	1	1	2	5	1	3	2	|	1	1	1	4	1	3	4	2
115	DZ		|									|	1	1	1	2	5	2	2	3	|	1	1	1	4	1	4	4	1
116	D(d)	3(d)	|									|	2	1	1	2	5	2	3	1	|	6	1	1	4	2	1	1	1
117			|									|	1	1	1	2	5	3	2	2	|	1	1	1	4	2	1	5	2
118	D(s)	3(s)	|									|	1	1	1	2	5	4	2	1	|	1	1	1	4	2	2	5	1
119			|									|	1	1	1	2	6	1	3	2	|	5	1	1	4	3	1	1	1
120	EA	40	|	1	1	1	4	2	4	2	2	|	1	1	1	2	6	2	3	1	|	4	1	1	4	4	1	1	1
121	EB	41	|	1	1	1	4	2	5	2	1	|	4	1	1	3	1	1	1	5	|	3	1	1	4	5	1	1	1
122	EC	42	|	2	1	1	4	3	1	4	1	|	5	1	1	3	1	1	2	3	|	1	1	1	5	1	1	4	3
123	ED	43	|	1	1	1	4	3	3	3	1	|	6	1	1	3	1	1	3	1	|	2	1	1	5	1	1	5	1
124	EE	44	|	1	1	1	5	1	1	1	6	|	4	1	1	3	1	2	1	4	|	1	1	1	5	1	2	4	2
125	EF	45	|	2	1	1	5	1	1	2	4	|	5	1	1	3	1	2	2	2	|	1	1	1	5	1	3	4	1
126	EG	46	|	3	1	1	5	1	1	3	2	|	4	1	1	3	1	3	1	3	|	1	1	1	5	2	1	5	1
127	EH	47	|	1	1	1	5	1	2	1	5	|	5	1	1	3	1	3	2	1	|	1	1	1	6	1	1	4	2
128	EI	48	|	2	1	1	5	1	2	2	3	|	4	1	1	3	1	4	1	2	|	1	1	1	6	1	2	4	1
129	EJ	49	|	3	1	1	5	1	2	3	1	|	4	1	1	3	1	5	1	1	|	1	2	1	1	1	1	4	6
130	EK	4K	|	1	1	1	5	1	3	1	4	|	3	1	1	3	2	1	1	5	|	2	2	1	1	1	1	5	4
131	EL	4L	|	2	1	1	5	1	3	2	2	|	4	1	1	3	2	1	2	3	|	3	2	1	1	1	1	6	2
132	EM		|									|	5	1	1	3	2	1	3	1	|	1	2	1	1	1	2	4	5
133	EN	4N	|									|	3	1	1	3	2	2	1	4	|	2	2	1	1	1	2	5	3
134	EO		|									|	4	1	1	3	2	2	2	2	|	3	2	1	1	1	2	6	1
135	EP		|	1	1	1	5	2	1	2	4	|	3	1	1	3	2	3	1	3	|	1	2	1	1	1	3	4	4
136	EQ		|	1	1	1	5	2	2	2	3	|	4	1	1	3	2	3	2	1	|	2	2	1	1	1	3	5	2
137	ER	4R	|	1	1	1	5	2	3	2	2	|	3	1	1	3	2	4	1	2	|	1	2	1	1	1	4	4	3
138	ES		|									|	3	1	1	3	2	5	1	1	|	2	2	1	1	1	4	5	1
139	ET		|	3	1	1	6	1	1	3	1	|	2	1	1	3	3	1	1	5	|	1	2	1	1	1	5	4	2
140	EU	4U	|									|	3	1	1	3	3	1	2	3	|	6	2	1	1	2	1	1	3
141	EV		|	2	1	1	6	1	3	2	1	|	4	1	1	3	3	1	3	1	|	1	2	1	1	2	1	5	4
142	EW		|									|	2	1	1	3	3	2	1	4	|	2	2	1	1	2	1	6	2
143	EX		|									|	3	1	1	3	3	2	2	2	|	6	2	1	1	2	2	1	2
144	EY		|									|	2	1	1	3	3	3	1	3	|	1	2	1	1	2	2	5	3
145	EZ		|									|	3	1	1	3	3	3	2	1	|	2	2	1	1	2	2	6	1
146	E(d)	4(d)	|	2	2	1	1	1	2	2	6	|	2	1	1	3	3	4	1	2	|	6	2	1	1	2	3	1	1
147			|	3	2	1	1	1	2	3	4	|	2	1	1	3	3	5	1	1	|	1	2	1	1	2	3	5	2
148	E(s)	4(s)	|	4	2	1	1	1	2	4	2	|	1	1	1	3	4	1	1	5	|	1	2	1	1	2	4	5	1
149			|	2	2	1	1	1	3	2	5	|	2	1	1	3	4	1	2	3	|	5	2	1	1	3	1	1	3
150	FA	50	|	3	2	1	1	1	3	3	3	|	3	1	1	3	4	1	3	1	|	6	2	1	1	3	1	2	1
151	FB	51	|	4	2	1	1	1	3	4	1	|	1	1	1	3	4	2	1	4	|	1	2	1	1	3	1	6	2
152	FC	52	|	1	2	1	1	1	4	1	6	|	2	1	1	3	4	2	2	2	|	5	2	1	1	3	2	1	2
153	FD	53	|	2	2	1	1	1	4	2	4	|	1	1	1	3	4	3	1	3	|	1	2	1	1	3	2	6	1
154	FE	54	|	1	2	1	1	1	5	1	5	|	2	1	1	3	4	3	2	1	|	5	2	1	1	3	3	1	1
155	FF	55	|	2	2	1	1	2	1	3	5	|	1	1	1	3	4	4	1	2	|	4	2	1	1	4	1	1	3
156	FG	56	|	3	2	1	1	2	1	4	3	|	1	1	1	3	4	5	1	1	|	5	2	1	1	4	1	2	1
157	FH	57	|	4	2	1	1	2	1	5	1	|	1	1	1	3	5	1	2	3	|	4	2	1	1	4	2	1	2
158	FI	58	|	1	2	1	1	2	2	2	6	|	2	1	1	3	5	1	3	1	|	4	2	1	1	4	3	1	1
159	FJ	59	|	2	2	1	1	2	2	3	4	|	1	1	1	3	5	2	2	2	|	3	2	1	1	5	1	1	3
160	FK	5K	|									|	1	1	1	3	5	3	2	1	|	4	2	1	1	5	1	2	1
161	FL	5L	|									|	1	1	1	3	6	1	3	1	|	3	2	1	1	5	2	1	2
162	FM		|									|	4	1	1	4	1	1	1	4	|	3	2	1	1	5	3	1	1
163	FN	5N	|									|	5	1	1	4	1	1	2	2	|	2	2	1	1	6	1	1	3
164	FO		|									|	4	1	1	4	1	2	1	3	|	3	2	1	1	6	1	2	1
165	FP		|									|	5	1	1	4	1	2	2	1	|	2	2	1	1	6	2	1	2
166	FQ		|									|	4	1	1	4	1	3	1	2	|	2	2	1	1	6	3	1	1
167	FR		|									|	4	1	1	4	1	4	1	1	|	2	1	2	1	1	1	4	5
168	FS		|	1	2	1	1	3	2	3	4	|	3	1	1	4	2	1	1	4	|	3	1	2	1	1	1	5	3
169	FT		|									|	4	1	1	4	2	1	2	2	|	4	1	2	1	1	1	6	1
170	FU		|									|	3	1	1	4	2	2	1	3	|	1	1	2	1	1	2	3	6
171	FV		|									|	4	1	1	4	2	2	2	1	|	2	1	2	1	1	2	4	4
172	FW		|									|	3	1	1	4	2	3	1	2	|	3	1	2	1	1	2	5	2
173	FX		|	2	2	1	1	4	1	5	1	|	3	1	1	4	2	4	1	1	|	1	1	2	1	1	3	3	5
174	FY		|									|	2	1	1	4	3	1	1	4	|	2	1	2	1	1	3	4	3
175	FZ		|									|	3	1	1	4	3	1	2	2	|	3	1	2	1	1	3	5	1
176	F(d)	5(d)	|	3	1	2	1	1	1	2	6	|	2	1	1	4	3	2	1	3	|	1	1	2	1	1	4	3	4
177			|	4	1	2	1	1	1	3	4	|	3	1	1	4	3	2	2	1	|	2	1	2	1	1	4	4	2
178	F(s)	5(s)	|	5	1	2	1	1	1	4	2	|	2	1	1	4	3	3	1	2	|	1	1	2	1	1	5	3	3
179			|	3	1	2	1	1	2	2	5	|	2	1	1	4	3	4	1	1	|	2	1	2	1	1	5	4	1
180	GA	60	|	4	1	2	1	1	2	3	3	|	1	1	1	4	4	1	1	4	|	1	1	2	1	1	6	3	2
181	GB	61	|	5	1	2	1	1	2	4	1	|	2	1	1	4	4	1	2	2	|	1	2	1	2	1	1	4	5
182	GC	62	|	2	1	2	1	1	3	1	6	|	1	1	1	4	4	2	1	3	|	2	2	1	2	1	1	5	3
183	GD	63	|	3	1	2	1	1	3	2	4	|	2	1	1	4	4	2	2	1	|	3	2	1	2	1	1	6	1
184	GE	64	|	4	1	2	1	1	3	3	2	|	1	1	1	4	4	3	1	2	|	1	1	2	1	2	1	4	5
185	GF	65	|	2	1	2	1	1	4	1	5	|	1	1	1	4	4	4	1	1	|	1	2	1	2	1	2	4	4
186	GG	66	|	3	1	2	1	1	4	2	3	|	1	1	1	4	5	1	2	2	|	2	2	1	2	1	2	5	2
187	GH	67	|	4	1	2	1	1	4	3	1	|	1	1	1	4	5	2	2	1	|	1	1	2	1	2	2	4	4
188	GI	68	|	2	1	2	1	1	5	1	4	|	4	1	1	5	1	1	1	3	|	2	1	2	1	2	2	5	2
189	GJ	69	|									|	5	1	1	5	1	1	2	1	|	2	2	1	2	1	3	5	1
190	GK	6K	|									|	4	1	1	5	1	2	1	2	|	1	1	2	1	2	3	4	3
191	GL	6L	|									|	4	1	1	5	1	3	1	1	|	1	2	1	2	1	4	4	2
192	GM		|									|	3	1	1	5	2	1	1	3	|	1	1	2	1	2	4	4	2
193	GN	6N	|	2	1	2	1	2	1	2	6	|	4	1	1	5	2	1	2	1	|	1	2	1	2	1	5	4	1
194	GO		|									|	3	1	1	5	2	2	1	2	|	1	1	2	1	2	5	4	1
195	GP		|									|	3	1	1	5	2	3	1	1	|	6	2	1	2	2	1	1	2
196	GQ		|									|	2	1	1	5	3	1	1	3	|	1	2	1	2	2	1	5	3
197	GR		|									|	3	1	1	5	3	1	2	1	|	2	2	1	2	2	1	6	1
198	GS		|									|	2	1	1	5	3	2	1	2	|	6	1	2	1	3	1	1	2
199	GT		|									|	2	1	1	5	3	3	1	1	|	6	2	1	2	2	2	1	1
200	GU		|									|	1	1	1	5	4	1	1	3	|	1	1	2	1	3	1	5	3
201	GV		|									|	2	1	1	5	4	1	2	1	|	1	2	1	2	2	2	5	2
202	GW		|									|	1	1	1	5	4	2	1	2	|	6	1	2	1	3	2	1	1
203	GX		|									|	1	1	1	5	4	3	1	1	|	1	1	2	1	3	2	5	2
204	GY		|									|	4	1	1	6	1	1	1	2	|	1	2	1	2	2	3	5	1
205	GZ		|									|	4	1	1	6	1	2	1	1	|	1	1	2	1	3	3	5	1
206	G(d)	6(d)	|									|	3	1	1	6	2	1	1	2	|	5	2	1	2	3	1	1	2
207			|									|	3	1	1	6	2	2	1	1	|	1	2	1	2	3	1	6	1
208	G(s)	6(s)	|									|	2	1	1	6	3	1	1	2	|	5	1	2	1	4	1	1	2
209			|									|	2	1	1	6	3	2	1	1	|	5	2	1	2	3	2	1	1
210	HA	70	|	1	1	2	1	3	1	2	6	|	4	2	1	1	1	1	1	6	|	1	1	2	1	4	1	6	1
211	HB	71	|									|	5	2	1	1	1	1	2	4	|	5	1	2	1	4	2	1	1
212	HC	72	|	2	2	1	2	2	2	3	3	|	6	2	1	1	1	1	3	2	|	4	2	1	2	4	1	1	2
213	HD	73	|	3	2	1	2	2	2	4	1	|	4	2	1	1	1	2	1	5	|	4	1	2	1	5	1	1	2
214	HE	74	|	1	1	2	1	3	2	2	5	|	5	2	1	1	1	2	2	3	|	4	2	1	2	4	2	1	1
215	HF	75	|	2	1	2	1	3	2	3	3	|	6	2	1	1	1	2	3	1	|	4	1	2	1	5	2	1	1
216	HG	76	|	3	1	2	1	3	2	4	1	|	4	2	1	1	1	3	1	4	|	3	2	1	2	5	1	1	2
217	HH	77	|	1	1	2	1	3	3	2	4	|	5	2	1	1	1	3	2	2	|	3	1	2	1	6	1	1	2
218	HI	78	|	1	2	1	2	2	4	2	3	|	4	2	1	1	1	4	1	3	|	3	2	1	2	5	2	1	1
219	HJ	79	|	1	1	2	1	3	4	2	3	|	5	2	1	1	1	4	2	1	|	3	1	2	1	6	2	1	1
220	HK		|									|	4	2	1	1	1	5	1	2	|	2	2	1	2	6	1	1	2
221	HL	7L	|									|	4	2	1	1	1	6	1	1	|	2	2	1	2	6	2	1	1
222	HM		|									|	3	2	1	1	2	1	1	6	|	1	1	2	2	1	1	3	6
223	HN	7N	|									|	4	2	1	1	2	1	2	4	|	2	1	2	2	1	1	4	4
224	HO		|									|	5	2	1	1	2	1	3	2	|	3	1	2	2	1	1	5	2
225	HP		|									|	3	2	1	1	2	2	1	5	|	1	1	2	2	1	2	3	5
226	HQ		|									|	4	2	1	1	2	2	2	3	|	2	1	2	2	1	2	4	3
227	HR		|									|	5	2	1	1	2	2	3	1	|	3	1	2	2	1	2	5	1
228	HS		|									|	3	2	1	1	2	3	1	4	|	1	1	2	2	1	3	3	4
229	HT		|									|	4	2	1	1	2	3	2	2	|	2	1	2	2	1	3	4	2
230	HU		|									|	3	2	1	1	2	4	1	3	|	1	1	2	2	1	4	3	3
231	HV		|									|	4	2	1	1	2	4	2	1	|	2	1	2	2	1	4	4	1
232	HW		|									|	3	2	1	1	2	5	1	2	|	1	1	2	2	1	5	3	2
233	HX		|	4	1	2	2	1	1	3	3	|	3	2	1	1	2	6	1	1	|	1	1	2	2	1	6	3	1
234	HY		|	5	1	2	2	1	1	4	1	|	2	2	1	1	3	1	1	6	|	1	2	1	3	1	1	4	4
235	HZ		|	2	1	2	2	1	2	1	6	|	3	2	1	1	3	1	2	4	|	2	2	1	3	1	1	5	2
236	H(d)	7(d)	|	3	1	2	2	1	2	2	4	|	4	2	1	1	3	1	3	2	|	1	1	2	2	2	1	4	4
237			|	4	1	2	2	1	2	3	2	|	2	2	1	1	3	2	1	5	|	1	2	1	3	1	2	4	3
238	H(s)		|	2	1	2	2	1	3	1	5	|	3	2	1	1	3	2	2	3	|	2	2	1	3	1	2	5	1
239			|	3	1	2	2	1	3	2	3	|	4	2	1	1	3	2	3	1	|	1	1	2	2	2	2	4	3
240	IA	80	|	4	1	2	2	1	3	3	1	|	2	2	1	1	3	3	1	4	|								
241	IB	81	|	2	1	2	2	1	4	1	4	|	3	2	1	1	3	3	2	2	|	1	1	2	2	2	3	4	2
