word	num	|	G0								|	G3								|	G6							
(dl)L		|	1	2	3	3	3	3	1	1	|									|								
(dl)R		|	3	1	4	3	2	2	1	1	|									|								
(dl)S		|	2	2	3	4	2	1	1	2	|									|								
(s)A	(s)0	|									|	5	3	3	1	2	1	1	1	|	1	2	5	2	2	3	1	1
(s)B	(s)1	|									|	4	5	1	3	1	1	1	1	|								
(s)C	(s)2	|									|	4	4	2	2	2	1	1	1	|								
(s)D	(s)3	|									|	4	3	3	1	3	1	1	1	|								
(s)E	(s)4	|									|	3	5	1	3	2	1	1	1	|								
(s)F	(s)5	|									|	3	4	2	2	3	1	1	1	|								
(s)H	(s)7	|									|	2	5	1	3	3	1	1	1	|								
(s)J	(s)9	|									|	2	3	3	1	5	1	1	1	|								
A(dl)	0(dl)	|									|	3	1	1	1	2	6	1	2	|								
AC	02	|									|									|	1	1	1	1	1	2	4	6
AD	03	|	3	1	1	1	1	2	3	5	|									|	2	1	1	1	1	2	5	4
AE	04	|									|	6	1	1	1	1	2	3	2	|	3	1	1	1	1	2	6	2
AF	05	|									|									|	1	1	1	1	1	3	4	5
AG	06	|									|	5	1	1	1	1	3	2	3	|								
AH	07	|									|									|	3	1	1	1	1	3	6	1
AI	08	|									|									|	1	1	1	1	1	4	4	4
BF	15	|									|	4	1	1	1	3	3	3	1	|								
BH	17	|									|	3	1	1	1	3	4	2	2	|								
BU		|									|	1	1	1	1	4	4	1	4	|								
C(s)	2(s)	|									|	3	1	1	2	2	5	1	2	|								
CE	24	|									|	1	1	1	1	6	2	3	2	|								
CG	26	|									|	4	1	1	2	1	1	1	6	|								
CH	27	|	1	1	1	2	4	1	4	3	|									|								
DF	35	|	2	1	1	3	3	1	4	2	|									|								
DG	36	|	1	1	1	3	3	2	3	3	|									|								
E(s)	4(s)	|									|	1	1	1	3	4	1	1	5	|								
ER		|									|	3	1	1	3	2	4	1	2	|								
G(s)	6(s)	|									|	2	1	1	6	3	1	1	2	|								
IV		|									|	1	2	1	1	5	3	2	2	|								
J(dl)	9(dl)	|									|	3	1	2	1	3	2	1	4	|								
J(s)	9(s)	|									|	4	2	1	2	2	3	2	1	|								
KA		|									|									|	1	3	1	1	1	4	4	2
LE		|									|	1	2	1	2	5	2	2	2	|								
LR		|	1	1	2	4	3	3	2	1	|									|								
NK		|	4	3	1	2	1	1	4	1	|									|								
NO		|									|	4	1	2	3	2	3	1	1	|								
S(dl)		|									|	1	1	3	1	2	2	6	1	|								
SF		|									|	1	2	2	1	6	1	2	2	|								
SK		|									|	2	1	3	1	1	1	6	2	|								
T(dl)		|									|	2	2	2	2	4	3	1	1	|								
UK		|	1	4	1	1	2	5	2	1	|									|								
VA		|	1	4	1	2	1	2	1	5	|									|								
VS		|									|	1	1	3	3	1	2	5	1	|								
W(dl)		|									|	1	4	1	1	4	3	1	2	|								
W(s)		|	1	4	1	3	1	4	1	2	|									|								
WJ		|	2	2	3	1	2	2	1	4	|									|								
YI		|									|	2	2	3	1	1	1	6	1	|								
