word	num	|	G0								|	G3								|	G6							
(d)L		|	1	2	3	3	3	3	1	1	|									|								
(d)R		|	3	1	4	3	2	2	1	1	|									|								
(d)S		|	2	2	3	4	2	1	1	2	|									|								
(s)A	(s)0	|	1	4	2	1	3	2	2	2	|	5	3	3	1	2	1	1	1	|	1	2	5	2	2	3	1	1
(s)B	(s)1	|	1	5	1	2	2	3	2	1	|	4	5	1	3	1	1	1	1	|								
(s)C	(s)2	|	1	4	2	1	3	3	2	1	|	4	4	2	2	2	1	1	1	|								
(s)D	(s)3	|									|	4	3	3	1	3	1	1	1	|								
(s)E	(s)4	|									|	3	5	1	3	2	1	1	1	|	1	2	5	2	3	1	2	1
(s)F	(s)5	|									|	3	4	2	2	3	1	1	1	|								
(s)H	(s)7	|	3	3	3	1	1	3	1	2	|	2	5	1	3	3	1	1	1	|								
(s)J	(s)9	|	2	4	2	2	1	1	1	4	|	2	3	3	1	5	1	1	1	|								
(s)K		|	2	3	3	1	2	1	1	4	|									|								
(s)M		|	3	4	2	2	1	2	2	1	|									|								
A(d)	0(d)	|									|	3	1	1	1	2	6	1	2	|								
AC	02	|	5	1	1	1	1	1	5	2	|									|	1	1	1	1	1	2	4	6
AD	03	|	3	1	1	1	1	2	3	5	|	5	1	1	1	1	2	2	4	|	2	1	1	1	1	2	5	4
AE	04	|	4	1	1	1	1	2	4	3	|	6	1	1	1	1	2	3	2	|	3	1	1	1	1	2	6	2
AF	05	|									|									|	1	1	1	1	1	3	4	5
AG	06	|	2	1	1	1	1	3	2	6	|	5	1	1	1	1	3	2	3	|								
AH	07	|	3	1	1	1	1	3	3	4	|	6	1	1	1	1	3	3	1	|	3	1	1	1	1	3	6	1
AI	08	|	2	1	1	1	1	4	2	5	|	4	1	1	1	1	4	1	4	|	1	1	1	1	1	4	4	4
AL	0L	|									|	5	1	1	1	1	5	2	1	|	6	1	1	1	2	1	1	4
AN	0N	|									|	4	1	1	1	2	1	2	5	|	2	1	1	1	2	1	6	3
BA	10	|	2	1	1	1	4	1	5	2	|									|								
BC	12	|	2	1	1	1	4	2	5	1	|									|	5	1	1	1	4	1	2	2
BD	13	|	1	1	1	1	5	1	5	2	|	2	1	1	1	3	3	1	5	|	4	1	1	1	4	2	1	3
BE	14	|	5	1	1	1	6	1	1	1	|									|	5	1	1	1	4	2	2	1
BF	15	|									|	4	1	1	1	3	3	3	1	|								
BG	16	|									|	2	1	1	1	3	4	1	4	|								
BH	17	|	5	1	1	2	1	1	5	1	|	3	1	1	1	3	4	2	2	|	3	1	1	1	5	1	1	4
BI	18	|	2	1	1	2	1	2	2	6	|	2	1	1	1	3	5	1	3	|	4	1	1	1	5	1	2	2
BL	1L	|									|	2	1	1	1	4	1	2	5	|	3	1	1	1	5	3	1	2
BN	1N	|									|	4	1	1	1	4	1	4	1	|	2	1	1	1	6	1	1	4
BP	1P	|									|									|	2	1	1	1	6	2	1	3
BU	1U	|									|	1	1	1	1	4	4	1	4	|								
C(d)	2(d)	|									|									|	1	1	1	3	1	1	4	5
C(s)	2(s)	|									|	3	1	1	2	2	5	1	2	|								
CC	22	|	3	1	1	2	3	1	5	1	|									|	6	1	1	2	2	2	1	2
CD	23	|	1	1	1	2	3	2	3	4	|	2	1	1	1	6	1	4	1	|	1	1	1	2	2	2	5	3
CE	24	|	2	1	1	2	3	2	4	2	|	1	1	1	1	6	2	3	2	|	2	1	1	2	2	2	6	1
CG	26	|									|	4	1	1	2	1	1	1	6	|								
CH	27	|	1	1	1	2	4	1	4	3	|	5	1	1	2	1	1	2	4	|	1	1	1	2	2	4	5	1
CI	28	|	2	1	1	2	4	1	5	1	|	6	1	1	2	1	1	3	2	|	5	1	1	2	3	1	1	3
CL	2L	|									|	6	1	1	2	1	2	3	1	|	5	1	1	2	3	2	1	2
CN	2N	|									|	5	1	1	2	1	3	2	2	|	5	1	1	2	3	3	1	1
D(d)	3(d)	|									|									|	6	1	1	4	2	1	1	1
DC	32	|	1	1	1	3	2	4	2	3	|									|	2	1	1	3	1	3	5	1
DD	33	|	1	1	1	3	2	5	2	2	|	2	1	1	2	3	2	1	5	|	1	1	1	3	1	4	4	2
DE	34	|	1	1	1	3	3	1	3	4	|									|	1	1	1	3	1	5	4	1
DF	35	|	2	1	1	3	3	1	4	2	|									|								
DG	36	|	1	1	1	3	3	2	3	3	|									|								
DH	37	|	2	1	1	3	3	2	4	1	|	3	1	1	2	3	3	2	2	|								
DI	38	|	1	1	1	3	3	3	3	2	|	2	1	1	2	3	4	1	3	|	6	1	1	3	2	2	1	1
DL	3L	|									|	2	1	1	2	3	6	1	1	|	5	1	1	3	3	1	1	2
